input_features
vapor_pressure_1
vapor_pressure_2
vapor_pressure_3
max_wind_speed
air_pressure_1
air_pressure_2
air_pressure_3
sunshine_duration
temperature_max
temperature_min
temperature_mean
year
month
day
lat
lon
rain_indicator_1
rain_indicator_2
vapor_pressure_1_lag_7
vapor_pressure_2_lag_7
vapor_pressure_3_lag_7
sunshine_duration_lag_7
temperature_max_lag_7
temperature_mean_lag_7
temperature_min_lag_7
vapor_pressure_1_lag_14
vapor_pressure_2_lag_14
vapor_pressure_3_lag_14
sunshine_duration_lag_14
temperature_max_lag_14
temperature_mean_lag_14
temperature_min_lag_14
vapor_pressure_1_lag_28
vapor_pressure_2_lag_28
vapor_pressure_3_lag_28
sunshine_duration_lag_28
temperature_max_lag_28
temperature_mean_lag_28
temperature_min_lag_28
