time,station,bewd_i,bewd_i_flag,bewd_ii,bewd_ii_flag,bewd_iii,bewd_iii_flag,bewm_i,bewm_i_flag,bewm_ii,bewm_ii_flag,bewm_iii,bewm_iii_flag,bewm_mittel,bewm_mittel_flag,bft6,bft6_flag,bft8,bft8_flag,cglo_j,cglo_j_flag,dampf_i,dampf_i_flag,dampf_ii,dampf_ii_flag,dampf_iii,dampf_iii_flag,dampf_mittel,dampf_mittel_flag,dd32_i,dd32_i_flag,dd32_ii,dd32_ii_flag,dd32_iii,dd32_iii_flag,erdb_i,erdb_i_flag,erdb_ii,erdb_ii_flag,erdb_iii,erdb_iii_flag,ffx,ffx_flag,gew,gew_flag,glatt,glatt_flag,nebel,nebel_flag,p_i,p_i_flag,p_ii,p_ii_flag,p_iii,p_iii_flag,p_mittel,p_mittel_flag,raureif,raureif_flag,reif,reif_flag,rfb_i,rfb_i_flag,rfb_ii,rfb_ii_flag,rfb_iii,rfb_iii_flag,rfb_mittel,rfb_mittel_flag,rf_i,rf_i_flag,rf_ii,rf_ii_flag,rf_iii,rf_iii_flag,rf_mittel,rf_mittel_flag,rr,rra_manu,rra_manu_flag,rra_manu_i,rra_manu_i_flag,rra_manu_iii,rra_manu_iii_flag,rr_flag,rr_i,rr_i_flag,rr_iii,rr_iii_flag,sh,sha_manu,sha_manu_flag,sh_flag,sh_manu,sh_manu_flag,shneu_manu,shneu_manu_flag,sicht_i,sicht_i_flag,sicht_ii,sicht_ii_flag,sicht_iii,sicht_iii_flag,so_h,so_h_flag,tau,tau_flag,tl_i,tl_i_flag,tl_ii,tl_ii_flag,tl_iii,tl_iii_flag,tlmax,tlmax_flag,tlmin,tlmin_flag,tl_mittel,tl_mittel_flag,tsmin,tsmin_flag,vvbft_i,vvbft_i_flag,vvbft_ii,vvbft_ii_flag,vvbft_iii,vvbft_iii_flag,vv_mittel,vv_mittel_flag,zeitx,zeitx_flag,substation
2016-01-01T00:00+00:00,4,,20,,20,,20,,20,,20,,20,,20,,,,,148.0,20,4.8,20,5.8,20,6.3,20,5.6,20,20.0,20,24.0,20,20.0,20,,20,,20,,20,4.0,20,,,,,,,995.9,20,994.9,20,994.4,20,995.1,20,,,,,,,,,,,,,91,20,89,20,98,20,93,20,-1,,20,,20,,20,20,1.1,20,-1,20,,,20,,,20,,20,,20,,20,,20,0.0,20,,,-2.0,20,1.0,20,0.7,20,1.4,20,-2.5,20,-0.6,20,-2.8,20,1.0,20,1.0,20,1.0,20,1.0,20,1013.0,20,5316
2016-01-01T00:00+00:00,13,,20,,20,,20,,20,,20,,20,,20,,,,,438.0,20,3.8,20,4.7,20,4.2,20,4.2,20,4.0,20,20.0,20,28.0,20,,20,,20,,20,4.1,20,,,,,,,950.1,20,949.6,20,949.5,20,949.7,20,,,,,,,,,,,,,84,20,73,20,87,20,81,20,-1,,20,,20,,20,20,-1,20,-1,20,,,20,,,20,,20,,20,,20,,20,4.1,20,,,-4.1,20,0.7,20,-3.2,20,0.9,20,-6.5,20,-2.8,20,-6.9,20,1.0,20,1.0,20,1.0,20,1.0,20,759.0,20,13702
2016-01-01T00:00+00:00,21,1.0,20,1.0,20,,20,10.0,20,3.0,20,0.0,20,43.0,20,0.0,,0.0,,421.0,20,4.2,20,4.9,20,4.5,20,4.5,20,0.0,20,16.0,20,12.0,20,3.0,20,1.0,20,3.0,20,2.6,20,0.0,,0.0,,0.0,,952.2,20,951.1,20,951.0,20,951.4,20,0.0,,0.0,,,,,,,,,,91,20,67,20,90,20,83,20,0.0,2.0,20,0.0,20,2.0,20,20,-1,20,0.0,20,,0.0,20,,-1.0,20,-1.0,20,10000.0,20,20000.0,20,10000.0,20,3.0,20,0.0,,-3.7,20,2.4,20,-2.6,20,4.1,20,-5.5,20,-0.7,20,-5.7,20,0.0,20,1.0,20,1.0,20,0.6,20,1433.0,20,21300
2016-01-01T00:00+00:00,28,,20,,20,,20,,20,,20,,20,,20,,,,,408.0,20,5.5,20,3.9,20,3.0,20,4.1,20,20.0,20,16.0,20,20.0,20,,20,,20,,20,10.6,20,,,,,,,847.4,20,845.5,20,844.5,20,845.8,20,,,,,,,,,,,,,86,20,82,20,85,20,84,20,0.1,,20,,20,,20,20,0.4,20,0.1,20,,,20,,,20,,20,,20,,20,,20,2.4,20,,,0.6,20,-3.4,20,-7.4,20,1.9,20,-8.1,20,-3.1,20,-3.9,20,3.0,20,1.0,20,1.0,20,2.1,20,718.0,20,17002
2016-01-01T00:00+00:00,16,,20,,20,,20,,20,,20,,20,,20,,,,,463.0,20,4.9,20,5.6,20,4.6,20,5.0,20,32.0,20,4.0,20,32.0,20,,20,,20,,20,6.3,20,,,,,,,868.7,20,866.8,20,866.0,20,867.2,20,,,,,,,,,,,,,86,20,73,20,89,20,83,20,-1,,20,,20,,20,20,0.0,20,-1,20,,,20,,,20,,20,,20,,20,,20,3.7,20,,,-0.9,20,3.1,20,-2.4,20,3.8,20,-2.4,20,0.7,20,,20,2.0,20,2.0,20,2.0,20,2.6,20,2326.0,20,14802
2016-01-01T00:00+00:00,25,2.0,20,,20,,20,8.0,20,0.0,20,0.0,20,27.0,20,0.0,,0.0,,522.0,20,5.5,20,3.9,20,3.2,20,4.2,20,24.0,20,28.0,20,28.0,20,3.0,20,3.0,20,3.0,20,8.1,20,0.0,,0.0,,0.0,,903.2,20,903.0,20,902.9,20,903.0,20,0.0,,0.0,,,,,,,,,,89,20,50,20,55,20,65,20,0.0,2.0,20,0.0,20,2.0,20,20,-1,20,0.0,20,,0.0,20,,-1.0,20,-1.0,20,5000.0,20,35000.0,20,25000.0,20,4.7,20,0.0,,0.2,20,3.5,20,-0.7,20,4.2,20,-8.4,20,-2.1,20,-8.7,20,1.0,20,2.0,20,2.0,20,2.1,20,1241.0,20,13515
2016-01-01T00:00+00:00,83,,20,1.0,20,2.0,20,0.0,20,5.0,20,10.0,20,50.0,20,,,,,265.0,20,6.0,20,6.7,20,6.3,20,6.3,20,,20,,20,,20,5.0,20,5.0,20,5.0,20,,20,,,0.0,,,,911.8,20,910.3,20,909.5,20,910.5,20,0.0,,0.0,,,,,,,,,,96,20,95,20,98,20,96,20,0.8,5.0,20,5.0,20,5.0,20,20,1.2,20,0.8,20,,1.0,20,,-1.0,20,-1.0,20,5000.0,20,10000.0,20,5000.0,20,0.0,20,0.0,,0.2,20,2.0,20,0.6,20,2.3,20,-2.1,20,0.1,20,-3.6,20,,20,,20,,20,,20,,20,12302
2016-01-01T00:00+00:00,60,1.0,20,2.0,20,2.0,20,10.0,20,10.0,20,10.0,20,100.0,20,0.0,,0.0,,171.0,20,7.0,20,7.4,20,7.1,20,7.2,20,0.0,20,4.0,20,32.0,20,2.0,20,2.0,20,2.0,20,6.6,20,0.0,,0.0,,1.0,,967.0,20,966.2,20,964.7,20,966.0,20,0.0,,0.0,,,,,,,,,,98,20,94,20,100,20,97,20,0.0,1.0,20,1.0,20,1.0,20,20,4.2,20,0.0,20,,0.0,20,,-1.0,20,-1.0,20,2000.0,20,1500.0,20,500.0,20,0.0,20,0.0,,2.1,20,3.6,20,2.1,20,4.0,20,0.9,20,2.5,20,1.0,20,0.0,20,1.0,20,1.0,20,0.6,20,2308.0,20,6415
2016-01-01T00:00+00:00,3,2.0,20,2.0,20,2.0,20,10.0,20,10.0,20,10.0,20,100.0,20,0.0,,0.0,,141.0,20,4.6,20,6.1,20,5.6,20,5.4,20,24.0,20,28.0,20,28.0,20,8.0,20,1.0,20,1.0,20,7.6,20,0.0,,0.0,,1.0,,953.7,20,953.2,20,952.9,20,953.3,20,0.0,,0.0,,,,,,,,,,97,20,95,20,100,20,97,20,-1,0.0,20,2.0,20,0.0,20,20,0.1,20,-1,20,,2.0,20,,0.0,20,0.0,20,2000.0,20,4500.0,20,1400.0,20,0.0,20,0.0,,-3.4,20,0.6,20,-1.2,20,0.6,20,-6.1,20,-2.8,20,-7.2,20,1.0,20,2.0,20,2.0,20,2.1,20,1508.0,20,1906
2016-01-01T00:00+00:00,51,2.0,20,1.0,20,2.0,20,10.0,20,7.0,20,10.0,20,90.0,20,0.0,,0.0,,182.0,20,4.6,20,5.8,20,6.2,20,5.5,20,20.0,20,24.0,20,20.0,20,9.0,20,1.0,20,1.0,20,6.5,20,0.0,,0.0,,0.0,,1007.0,20,1005.2,20,1005.2,20,1005.8,20,0.0,,1.0,,,,,,,,,,93,20,84,20,93,20,90,20,0.0,5.0,20,8.0,20,5.0,20,20,0.0,20,0.0,20,,3.0,20,,0.0,20,0.0,20,5000.0,20,7000.0,20,7000.0,20,0.2,20,0.0,,-3.0,20,1.7,20,1.1,20,2.4,20,-6.3,20,-2.0,20,-8.5,20,1.0,20,2.0,20,2.0,20,2.1,20,1423.0,20,4081
