Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit
ffx,Maximale Windgeschwindigkeit (Spitzenböe),"Windgeschwindigkeit, Tagesmaximum aus den Stundenwerten 0-24 Uhr MOZ (23 Vortag - 23 Tag UTC)",m/s
ffx_flag,Qualitätsflag für Maximale Windgeschwindigkeit (Spitzenböe),"Qualitätsflag für Windgeschwindigkeit, Tagesmaximum aus den Stundenwerten 0-24 Uhr MOZ (23 Vortag - 23 Tag UTC)",code
gew,Gewitter Indikator,"Beobachtung von Gewitter, historisch beobachtet, seit 01.01.2019 aus ALDIS Blitzmeldungen berechnet - Codeliste={0: nein, 1: ja}",bool
gew_flag,Qualitätsflag für Gewitter Indikator,"Qualitätsflag für Beobachtung von Gewitter, historisch beobachtet, seit 01.01.2019 aus ALDIS Blitzmeldungen berechnet",code
glatt,Glatteis Indikator,"Beobachtung von Glatteis - Codeliste={0: nein, 1: ja}",bool
glatt_flag,Qualitätsflag für Glatteis Indikator,Qualitätsflag für Beobachtung von Glatteis,code
nebel,Nebel Indikator,"Beobachtung von Nebel - Codeliste={0: nein, 1: ja}",bool
nebel_flag,Qualitätsflag für Nebel Indikator,Qualitätsflag für Beobachtung von Nebel,code
p_i,Luftdruck zum Beobachtungstermin I,Luftdruck zum Beobachtungstermin I (06 UTC),hPa
p_i_flag,Qualitätsflag für Luftdruck zum Beobachtungstermin I,Qualitätsflag für Luftdruck zum Beobachtungstermin I (06 UTC),code
p_ii,Luftdruck zum Beobachtungstermin II,Luftdruck zum Beobachtungstermin II (13 UTC),hPa
p_ii_flag,Qualitätsflag für Luftdruck zum Beobachtungstermin II,Qualitätsflag für Luftdruck zum Beobachtungstermin II (13 UTC),code
p_iii,Luftdruck zum Beobachtungstermin III,"Luftdruck zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",hPa
p_iii_flag,Qualitätsflag für Luftdruck zum Beobachtungstermin III,"Qualitätsflag für Luftdruck zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code
p_mittel,Luftdruck Mittelwert,"Luftdruck, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",hPa
p_mittel_flag,Qualitätsflag für Luftdruck Mittelwert,"Qualitätsflag für Luftdruck, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",code
raureif,Raureif Indikator,"Beobachtung von Raureif - Codeliste={0: nein, 1: ja}",bool
raureif_flag,Qualitätsflag für Raureif Indikator,Qualitätsflag für Beobachtung von Raureif,code
reif,Reif Indikator,"Beobachtung von Reif - Codeliste={0: nein, 1: ja}",bool
reif_flag,Qualitätsflag für Reif Indikator,Qualitätsflag für Beobachtung von Reif,code
rfb_i,Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin I,"Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin I (06 UTC)",%
rfb_i_flag,Qualitätsflag für Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin I,"Qualitätsflag für Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin I (06 UTC)",code
rfb_ii,Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin II,"Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin II (13 UTC)",%
rfb_ii_flag,Qualitätsflag für Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin II,"Qualitätsflag für Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin II (13 UTC)",code
rfb_iii,Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin III,"Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",%
rfb_iii_flag,Qualitätsflag für Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin III,"Qualitätsflag für Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code
rfb_mittel,Relative Feuchte Mittelwert aus Feuchttemperatur,"Relative Feuchte, Tagesmittel aus den berechneten Werten zu Beobachtungsterminen I,II,III (06,13,18 UTC)",%
rfb_mittel_flag,Qualitätsflag für Relative Feuchte Mittelwert aus Feuchttemperatur,"Qualitätsflag für Relative Feuchte, Tagesmittel aus den berechneten Werten zu Beobachtungsterminen I,II,III (06,13,18 UTC)",code
rf_i,Relative Feuchte zum Beobachtungstermin I,Relative Feuchte zum Beobachtungstermin I (06 UTC),%
rf_i_flag,Qualitätsflag für Relative Feuchte zum Beobachtungstermin I,Qualitätsflag für Relative Feuchte zum Beobachtungstermin I (06 UTC),code
rf_ii,Relative Feuchte zum Beobachtungstermin II,Relative Feuchte zum Beobachtungstermin II (13 UTC),%
rf_ii_flag,Qualitätsflag für Relative Feuchte zum Beobachtungstermin II,Qualitätsflag für Relative Feuchte zum Beobachtungstermin II (13 UTC),code
rf_iii,Relative Feuchte zum Beobachtungstermin III,"Relative Feuchte zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",%
rf_iii_flag,Qualitätsflag für Relative Feuchte zum Beobachtungstermin III,"Qualitätsflag für Relative Feuchte zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code
rf_mittel,Relative Feuchte Mittelwert,"Relative Feuchte, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",%
rf_mittel_flag,Qualitätsflag für Relative Feuchte Mittelwert,"Qualitätsflag für Relative Feuchte, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",code
rr,Niederschlag 24h Summe,"Niederschlag, 24-Stundensumme der Einminutenwerte von 06:01 UTC bis 06:00 UTC des Folgetags, -1=kein Niederschlag, 0=weniger als 1/10 mm",mm
rra_manu,Niederschlagsart 24h,"Niederschlagsart, 24 Stunden, von 06:01 UTC bis 06:00 UTC des Folgetags - Codeliste={0: kein Niederschlag, 1: Regen, 2: Schnee, 3: Graupel, 4: Hagel, 5: Regen und Schnee, 6: Regen und Graupel, 7: Regen und Hagel, 8: Schnee und Graupel, 9: Graupel und Hagel, 10: Regen und Schnee und Graupel, 11: Regen und Graupel und Hagel, 12: Schnee und Hagel, 13: Regen und Schnee und Hagel, 14: Schnee und Graupel und Hagel, 15: Regen und Schnee und Graupel und Hagel, 99: keine Angabe}",code
rra_manu_flag,Qualitätsflag für Niederschlagsart 24h,"Qualitätsflag für Niederschlagsart, 24 Stunden, von 06:01 UTC bis 06:00 UTC des Folgetags",code
rra_manu_i,Niederschlagsart 12h zum Beobachtungstermin I,"Niederschlagsart, 12 Stunden, von 18:01 UTC Vortag bis 06:00 UTC - Codeliste={0: kein Niederschlag, 1: Regen, 2: Schnee, 3: Graupel, 4: Hagel, 5: Regen und Schnee, 6: Regen und Graupel, 7: Regen und Hagel, 8: Schnee und Graupel, 9: Graupel und Hagel, 10: Regen und Schnee und Graupel, 11: Regen und Graupel und Hagel, 12: Schnee und Hagel, 13: Regen und Schnee und Hagel, 14: Schnee und Graupel und Hagel, 15: Regen und Schnee und Graupel und Hagel, 99: keine Angabe}",code
rra_manu_i_flag,Qualitätsflag für Niederschlagsart 12h zum Beobachtungstermin I,"Qualitätsflag für Niederschlagsart, 12 Stunden, von 18:01 UTC Vortag bis 06:00 UTC",code
rra_manu_iii,Niederschlagsart 12h zum Beobachtungstermin III,"Niederschlagsart, 12 Stunden von 06:01 UTC bis 18:00 UTC - Codeliste={0: kein Niederschlag, 1: Regen, 2: Schnee, 3: Graupel, 4: Hagel, 5: Regen und Schnee, 6: Regen und Graupel, 7: Regen und Hagel, 8: Schnee und Graupel, 9: Graupel und Hagel, 10: Regen und Schnee und Graupel, 11: Regen und Graupel und Hagel, 12: Schnee und Hagel, 13: Regen und Schnee und Hagel, 14: Schnee und Graupel und Hagel, 15: Regen und Schnee und Graupel und Hagel, 99: keine Angabe}",code
rra_manu_iii_flag,Qualitätsflag für Niederschlagsart 12h zum Beobachtungstermin III,"Qualitätsflag für Niederschlagsart, 12 Stunden von 06:01 UTC bis 18:00 UTC",code
rr_flag,Qualitätsflag für Niederschlag 24h Summe,"Qualitätsflag für Niederschlag, 24-Stundensumme der Einminutenwerte von 06:01 UTC bis 06:00 UTC des Folgetags, -1=kein Niederschlag, 0=weniger als 1/10 mm",code
rr_i,Niederschlag 12h Summe zum Beobachtungstermin I,"Niederschlag, 12-Stundensumme der Einminutenwerte von 18:01 UTC Vortag bis 06:00 UTC, -1=kein Niederschlag, 0=weniger als 1/10 mm",mm
rr_i_flag,Qualitätsflag für Niederschlag 12h Summe zum Beobachtungstermin I,"Qualitätsflag für Niederschlag, 12-Stundensumme der Einminutenwerte von 18:01 UTC Vortag bis 06:00 UTC, -1=kein Niederschlag, 0=weniger als 1/10 mm",code
